x,y,width,height,num_cell,type,direction,tag,imid
1086.0,402.0,25,33,10,num,vertical,0,1
1152.0,399.9999999999999,25,33,10,num,vertical,1,1
1219.0,402.0,25,33,10,num,vertical,2,1
1285.0,401.0,25,33,10,num,vertical,3,1
1352.0,401.0,25,33,10,num,vertical,4,1
1420.0,401.99999999999994,25,33,10,num,vertical,5,1
1517.0,435.0,25,33,9,num,vertical,6,1
185.0,1104.0,33,30,5,char,horizontal,7,0
186.0,1138.0,33,30,5,char,horizontal,8,0
186.0,1171.0,33,30,5,char,horizontal,9,0
185.0,1204.0,33,30,5,char,horizontal,10,0
184.99999999999997,1238.0,33,30,5,char,horizontal,11,0
184.0,1270.0,33,30,5,char,horizontal,12,0
184.99999999999997,1303.9999999999998,33,30,5,char,horizontal,13,0
184.0,1337.0,33,30,5,char,horizontal,14,0
