x,y,width,height,num_cell,type,direction,tag,imid
1085.9999999999998,411.99999999999994,25,33,10,num,vertical,0,1
1152.0,409.9999999999998,25,33,10,num,vertical,1,1
1218.9999999999998,409.99999999999994,25,33,10,num,vertical,2,1
1285.0,410.0,25,33,10,num,vertical,3,1
1351.9999999999998,409.0,25,33,10,num,vertical,4,1
1418.9999999999998,409.99999999999994,25,33,10,num,vertical,5,1
1516.9999999999998,441.99999999999994,25,33,9,num,vertical,6,1
186.99999999999997,1115.9999999999998,33,29,5,char,horizontal,15,0
185.99999999999997,1151.0,33,29,5,char,horizontal,8,0
186.99999999999991,1183.9999999999995,33,30,5,char,horizontal,15,0
185.99999999999997,1217.9999999999995,33,30,5,char,horizontal,10,0
185.99999999999997,1251.9999999999995,33,30,5,char,horizontal,11,0
185.99999999999991,1283.9999999999993,33,30,5,char,horizontal,12,0
186.99999999999991,1317.999999999999,33,30,5,char,horizontal,13,0
187.99999999999991,1350.9999999999998,33,30,5,char,horizontal,14,0
