x,y,width,height,num_cell,type,direction,tag,imid
1085.9999999999998,411.99999999999994,25,33,10,num,vertical,0,1
1152.0,409.9999999999998,25,33,10,num,vertical,1,1
1218.9999999999998,409.99999999999994,25,33,10,num,vertical,2,1
1285.0,410.0,25,33,10,num,vertical,3,1
1351.9999999999998,409.0,25,33,10,num,vertical,4,1
1418.9999999999998,409.99999999999994,25,33,10,num,vertical,5,1
1516.9999999999998,441.99999999999994,25,33,9,num,vertical,6,1
186.99999999999997,1115.9999999999998,33,29,5,char,horizontal,7,0
185.99999999999997,1151.0,33,29,5,char,horizontal,8,0
186.99999999999991,1183.9999999999995,33,27,5,char,horizontal,9,0
185.99999999999997,1217.9999999999995,33,27,5,char,horizontal,10,0
185.99999999999997,1251.9999999999995,33,27,5,char,horizontal,11,0
185.99999999999991,1283.9999999999993,33,27,5,char,horizontal,12,0
186.99999999999991,1317.999999999999,33,27,5,char,horizontal,13,0
187.99999999999991,1350.9999999999998,33,27,5,char,horizontal,14,0
187.99999999999994,1382.0,33,27,5,char,horizontal,15,0
186.0,1417.0,33,27,5,char,horizontal,16,0
184.99999999999997,1450.0,33,27,5,char,horizontal,17,0
185.0,1485.0,33,27,5,char,horizontal,18,0
185.0,1519.0,33,27,5,char,horizontal,19,0
186.0,1553.0,33,27,5,char,horizontal,20,0
186.99999999999997,1585.9999999999998,33,27,5,char,horizontal,21,0
186.99999999999997,1617.0,33,27,5,char,horizontal,22,0
185.99999999999997,1647.9999999999993,33,29,5,char,horizontal,23,0
186.0,1678.9999999999998,33,27,5,char,horizontal,24,0
186.99999999999997,1711.9999999999998,33,27,5,char,horizontal,25,0
186.99999999999997,1746.0000000000002,33,27,5,char,horizontal,26,0
186.99999999999997,1782.0,33,27,5,char,horizontal,27,0
187.99999999999997,1815.9999999999998,33,27,5,char,horizontal,28,0
189.0,1851.9999999999998,33,27,5,char,horizontal,29,0
186.99999999999997,1889.0000000000002,33,27,5,char,horizontal,27,0
187.99999999999997,1924.0,33,27,5,char,horizontal,31,0
189.0,1956.9999999999998,33,29,5,char,horizontal,32,0
189.0,1989.0,33,27,5,char,horizontal,33,0
188.0,2023.9999999999998,33,27,5,char,horizontal,34,0
187.0,2056.0,33,27,5,char,horizontal,35,0
189.0,2089.0,33,27,5,char,horizontal,36,0
586.0,1116.0,33,27,5,char,horizontal,37,0
587.0,1151.0,33,27,5,char,horizontal,38,0
585.0,1185.0,33,27,5,char,horizontal,39,0
585.0,1218.0,33,27,5,char,horizontal,40,0
586.0,1252.0,33,27,5,char,horizontal,41,0
584.0,1286.0,33,27,5,char,horizontal,42,0
584.0,1319.0,33,27,5,char,horizontal,43,0
585.0,1353.0,33,27,5,char,horizontal,44,0
585.0,1386.0,33,27,5,char,horizontal,45,0
585.0,1418.0,33,27,5,char,horizontal,46,0
